,SVM-l1,LR-l1,xgboost
Age,1.0,1.0,0.069
Ventilator,0.744,0.522,0.199
Immunosuppression,0.275,0.245,0.042
Chronic Renal Insufficiency,0.169,0.14,0.033
Other,0.127,0.119,0.027
ICU,0.151,0.108,0.094
Obesity ,0.102,0.102,0.026
Hypertension,0.107,0.1,0.061
Pneumonia,0.096,0.099,0.045
Diabetes,0.102,0.096,0.054
COPD,0.13,0.094,0.026
Asthma,0.055,0.049,0.036
Pregnant,0.134,0.014,0.0
Cardiovascular Disease,0.027,0.012,0.017
Tobacco Use,-0.067,-0.062,0.025
Gender,-0.087,-0.089,0.025
RESULTADO_3,-0.55,-0.714,0.223
