,SVM-l1,LR-l1,xgboost
Age,1.0,1.0,0.064
Ventilator,0.69,0.522,0.215
Immunosuppression,0.205,0.183,0.038
Chronic Renal Insufficiency,0.201,0.175,0.047
Other,0.18,0.17,0.036
Obesity ,0.117,0.116,0.033
Asthma,0.107,0.103,0.013
ICU,0.115,0.085,0.075
Pneumonia,0.075,0.079,0.036
Hypertension,0.076,0.076,0.04
Diabetes,0.077,0.076,0.049
Pregnant,0.233,0.074,0.0
COPD,0.085,0.069,0.022
Cardiovascular Disease,0.019,0.005,0.035
Gender,-0.102,-0.099,0.025
Tobacco Use,-0.125,-0.115,0.014
RESULTADO_3,-0.573,-0.772,0.259
