,SVM-l1,LR-l1,xgboost
Age,1.0,1.0,0.065
Ventilator,0.749,0.537,0.224
Immunosuppression,0.159,0.147,0.025
Chronic Renal Insufficiency,0.155,0.131,0.028
Pneumonia,0.112,0.119,0.041
Obesity ,0.114,0.112,0.034
Other,0.113,0.111,0.031
Hypertension,0.102,0.095,0.056
Diabetes,0.094,0.091,0.041
COPD,0.113,0.083,0.033
ICU,0.105,0.067,0.125
Asthma,0.01,0.001,0.005
Pregnant,0.109,0.0,0.0
Tobacco Use,-0.054,-0.052,0.039
Cardiovascular Disease,-0.093,-0.075,0.0
Gender,-0.087,-0.091,0.025
RESULTADO_3,-0.507,-0.648,0.226
