,SVM-l1,LR-l1,xgboost
Age,1.0,1.0,0.069
Ventilator,0.867,0.6,0.261
Immunosuppression,0.228,0.208,0.034
Other,0.187,0.173,0.032
Chronic Renal Insufficiency,0.176,0.143,0.032
Obesity ,0.111,0.11,0.032
Pneumonia,0.1,0.106,0.054
Diabetes,0.11,0.106,0.04
COPD,0.12,0.094,0.028
ICU,0.13,0.089,0.102
Hypertension,0.074,0.072,0.056
Asthma,0.057,0.054,0.0
Pregnant,0.113,0.002,0.0
Cardiovascular Disease,0.017,0.001,0.037
Tobacco Use,-0.052,-0.043,0.0
Gender,-0.111,-0.111,0.027
RESULTADO_3,-0.528,-0.683,0.193
