,SVM-l1,LR-l1,xgboost
Age,1.0,1.0,0.063
Ventilator,0.725,0.552,0.193
Immunosuppression,0.242,0.209,0.032
Other,0.207,0.191,0.035
Obesity ,0.123,0.121,0.03
Chronic Renal Insufficiency,0.135,0.12,0.048
Diabetes,0.115,0.114,0.063
Pneumonia,0.103,0.108,0.035
Pregnant,0.231,0.104,0.0
Hypertension,0.1,0.099,0.047
ICU,0.125,0.094,0.096
Asthma,0.097,0.083,0.0
Cardiovascular Disease,0.09,0.066,0.031
COPD,0.04,0.026,0.032
Gender,-0.117,-0.115,0.026
Tobacco Use,-0.127,-0.118,0.0
RESULTADO_3,-0.623,-0.837,0.271
